##################################################################################################
# Global oscillation parameters of the SYD pipeline for KASC WG1 stars, based on 2015 analysis 
# of all SC data prepared by Rasmus Handberg & Mikkel Lund. 
#
# Solar reference values of SYD pipeline:
# Dnu(Sun): 135.1 +/- 0.1 muHz
# numax(Sun): 3090 +/- 30 muHz
# NOTE: uncertainties are the scatter of 111 30d subsets of VIRGO green channel data 
# (see Huber et al. 2011)
#
# range_low + range_up: minimum + maximum frequency used to calculate Dnu
# numax + sig_numax: frequency of maximum power + 1-sigma uncertainty
# Dnu + sig_Dnu: large frequency separation + 1-sigma uncertainty
# Length: Length of input SC time series in days
# DetFlag: Status flag of detection (0=good,1=numax unreliable,2=Dnu unreliable)
# SrcFlag: Source of detection (0=reprocessed 2015 data, 1=Chaplin et al. 2014 analysis)
#
# DH  Jul 30 2015
##################################################################################################
    KIC    |  range_low |  range_up  |   numax    | sig_numax |   dnu    | sig_dnu | Length  | DetFlag | SrcFlag
   6450651  |   656.710  |  1605.290  |  1119.017  |   66.264  |  63.989  |  2.875  |    9.7  |  0      |  0
   6505044  |   175.355  |   428.645  |   303.016  |    4.887  |  20.718  |  0.332  |   30.9  |  0      |  0
   6508366  |   580.645  |  1419.355  |   962.773  |    5.591  |  51.732  |  0.054  |  923.7  |  0      |  0
   6520835  |   516.774  |  1263.226  |   893.550  |   44.811  |  49.844  |  0.461  |   29.3  |  0      |  0
   6529109  |   657.871  |  1608.129  |  1140.208  |   26.351  |  60.105  |  0.385  |   25.9  |  0      |  0
   6530901  |   926.710  |  2265.290  |  1601.798  |  171.234  |  78.581  |  0.738  |   29.8  |  0      |  0
   6531928  |   261.871  |   640.129  |   456.958  |    3.783  |  31.375  |  0.126  |  655.9  |  0      |  0
   6587236  |   279.290  |   682.710  |   488.910  |   30.130  |  31.308  |  0.572  |   25.9  |  0      |  0
   6592305  |   488.903  |  1195.097  |   837.449  |   24.732  |  46.861  |  0.529  |   29.4  |  0      |  0
   6593461  |  1045.161  |  2554.839  |  1958.679  |  144.563  |  89.911  |  3.458  |   28.9  |  0      |  0
   6593620  |   677.649  |  1750.773  |  1274.074  |   69.643  |  67.665  |  1.739  |   28.9  |  0      |  1
   6603624  |  1394.710  |  3409.290  |  2382.916  |   10.548  | 110.321  |  0.021  | 1049.6  |  0      |  0
   6605673  |   739.161  |  1806.839  |  1246.173  |   85.806  |  68.074  |  0.593  |   30.0  |  0      |  0
   6612225  |   646.258  |  1579.742  |  1113.110  |   22.920  |  58.904  |  2.578  |   25.9  |  0      |  0
   6671492  |   425.613  |  1040.387  |   746.600  |   41.886  |  42.105  |  0.708  |   24.9  |  0      |  0
   6679371  |   569.032  |  1390.968  |   989.270  |    6.361  |  50.705  |  0.036  | 1014.9  |  0      |  0
   6688822  |   470.903  |  1151.097  |   827.064  |   36.145  |  47.048  |  0.699  |   30.0  |  0      |  0
   6689943  |   976.645  |  2387.355  |  1679.601  |   63.088  |  80.825  |  1.731  |   29.3  |  0      |  0
   6693861  |   444.194  |  1085.806  |   786.144  |    6.644  |  47.298  |  0.149  |  567.8  |  0      |  0
   6766513  |   512.710  |  1253.290  |   873.803  |   18.377  |  50.673  |  0.241  |  522.8  |  0      |  0
   6802438  |   310.645  |   759.355  |   567.653  |    9.211  |  34.560  |  0.146  |   92.5  |  0      |  0
   6806100  |   522.581  |  1277.419  |   909.346  |  176.306  |  45.815  |  1.954  |   33.4  |  0      |  0
   6837853  |  1078.258  |  2635.742  |  1875.477  |  135.421  |  89.310  |  3.622  |   26.1  |  0      |  0
   6848299  |   551.613  |  1348.387  |   949.135  |   22.410  |  56.460  |  1.130  |   31.0  |  0      |  0
   6853020  |   638.710  |  1561.290  |  1017.234  |   94.835  |  54.204  |  1.646  |   26.9  |  0      |  0
